uf_referencia,uf_similar,similaridade,total_profissionais
AL,PI,0.2865812640060232,13
AL,MA,0.2609084953706954,9
AL,PB,0.24910158840516233,38
BA,PE,0.42925667683280555,58
BA,GO,0.3125535635439526,56
BA,MA,0.3020133599168759,9
CE,MA,0.31706373508560304,9
CE,PE,0.28571984729957367,58
CE,RN,0.25624982692842807,22
DF,GO,0.3330958314977298,56
DF,MS,0.308002579109697,12
DF,PR,0.2997371942583867,149
ES,SE,0.2735661063607755,20
ES,MG,0.27298731154146133,340
ES,SP,0.2673852445177536,1076
GO,DF,0.3330958314977298,96
GO,MS,0.3330958314977298,12
GO,BA,0.3125535635439526,58
MA,PE,0.3613040565265624,58
MA,RN,0.32403804925878094,22
MA,CE,0.31706373508560304,68
MG,PI,0.30283517256419373,13
MG,SP,0.2912234283364363,1076
MG,ES,0.27298731154146133,32
MS,GO,0.3330958314977298,56
MS,DF,0.308002579109697,96
MS,RS,0.27560264141484925,136
MT,RN,0.3452239062307897,22
MT,GO,0.26121549106474623,56
MT,MS,0.24153723146155973,12
PB,AL,0.24910158840516233,13
PB,MA,0.24270024235860538,9
PB,PE,0.21870768717068256,58
PE,BA,0.42925667683280555,58
PE,MA,0.3613040565265624,9
PE,RN,0.292004703497466,22
PI,MG,0.30283517256419373,340
PI,AL,0.2865812640060232,13
PI,MA,0.27921677527230027,9
PR,SC,0.3040693538971878,115
PR,DF,0.2997371942583867,96
PR,RS,0.2853364013935481,136
RJ,MG,0.24996324710422335,340
RJ,SP,0.2448336648689377,1076
RJ,ES,0.22950242818445737,32
RN,MT,0.3452239062307897,19
RN,MA,0.32403804925878094,9
RN,PE,0.292004703497466,58
RS,PR,0.2853364013935481,149
RS,SC,0.27958597969369875,115
RS,MS,0.27560264141484925,12
SC,PR,0.3040693538971878,149
SC,RS,0.27958597969369875,136
SC,MA,0.24496955054852643,9
SE,MA,0.2747175182581727,9
SE,ES,0.2735661063607755,32
SE,PE,0.24755983949426158,58
SP,MG,0.2912234283364363,340
SP,ES,0.2673852445177536,32
SP,MA,0.2471743372715232,9
